pygame 2.1.2 (SDL 2.0.18, Python 3.9.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
[3, 8, 12, 4, 24, 41, 0, 0, 3, 0, 0, 0, 0, 0, 0, 8, 0, 0, 23, 0]
[48, 28, 28, 26, 42, 173, 0, 8, 27, 4, 0, 0, 8, 20, 0, 24, 0, 0, 32, 0]
[168, 65, 48, 67, 62, 339, 0, 26, 58, 14, 18, 0, 16, 30, 0, 46, 0, 11, 58, 0]
[447, 73, 78, 112, 100, 566, 0, 46, 70, 26, 29, 19, 34, 44, 0, 61, 0, 25, 70, 0]
[835, 76, 95, 165, 205, 812, 0, 83, 85, 54, 35, 44, 42, 55, 0, 69, 0, 57, 78, 0]
[1314, 94, 119, 226, 226, 1223, 0, 129, 110, 60, 43, 59, 55, 68, 0, 75, 12, 96, 87, 0]
[1949, 140, 137, 316, 238, 1623, 0, 140, 158, 63, 65, 72, 75, 85, 0, 105, 31, 108, 113, 0]
[2884, 154, 170, 366, 259, 2017, 0, 151, 164, 69, 82, 100, 97, 113, 0, 129, 55, 126, 120, 0]
